family,run_idx,latent_dim,beta,learning_rate,num_epochs,num_parameters,final_train_loss,final_train_recon,final_train_kl,checkpoint_path
vae,1,32,0.5,0.001,20,1318659,165.60720434570314,140.0360734375,51.142259924316406,artifacts\checkpoints\subset\vae\vae_1.pt
vae,2,64,0.5,0.001,20,1711939,156.47477124023436,123.52588911132813,65.89776394042968,artifacts\checkpoints\subset\vae\vae_2.pt
vae,3,128,0.5,0.001,20,2498499,158.97126799316408,125.98410400390625,65.97432758789063,artifacts\checkpoints\subset\vae\vae_3.pt
vae,4,256,0.5,0.001,20,4071619,163.04811079101563,129.7919499511719,66.51232196044921,artifacts\checkpoints\subset\vae\vae_4.pt
vae,5,64,1.0,0.001,20,1711939,188.0943923828125,145.79516723632813,42.29922518920898,artifacts\checkpoints\subset\vae\vae_5.pt
vae,6,128,1.0,0.001,20,2498499,191.12896010742188,148.9240811279297,42.20487882080078,artifacts\checkpoints\subset\vae\vae_6.pt
vae,7,64,2.0,0.001,20,1711939,227.54098884277343,174.94828266601561,26.29635312805176,artifacts\checkpoints\subset\vae\vae_7.pt
vae,8,128,2.0,0.001,20,2498499,231.7259943359375,180.01391748046876,25.85603835449219,artifacts\checkpoints\subset\vae\vae_8.pt
vae,9,64,0.5,0.0005,20,1711939,156.94723666992186,124.51767136230468,64.85913145751954,artifacts\checkpoints\subset\vae\vae_9.pt
vae,10,128,0.5,0.0005,20,2498499,158.13420795898438,125.500971875,65.26647265625,artifacts\checkpoints\subset\vae\vae_10.pt
vae,11,64,1.0,0.0005,20,1711939,188.38702868652345,145.16491884765625,43.22210981445313,artifacts\checkpoints\subset\vae\vae_11.pt
vae,12,128,1.0,0.0005,20,2498499,191.15120537109374,148.89192270507812,42.25928289794922,artifacts\checkpoints\subset\vae\vae_12.pt
